,catapro,dlkcat,mmkcat,turnup,unikp,CatPred
r_0115_ENZ_YER069W,0.0396378386505715,0.0727456281208301,0.0559702954789744,0.1138423879174735,0.0391909206774564,0.051611688962656
r_0116_ENZ_YBR093C,0.0,0.0,0.0,0.0,0.0,0.0
r_0116_ENZ_YAR071W,0.0,0.0,0.0,0.0,0.0,0.0
r_0116_ENZ_YBR092C,0.0,0.0,0.0,0.0,0.0,0.0
r_0116_ENZ_YHR215W,0.0,0.0,0.0,0.0,0.0,0.0
r_0117_ENZ_YPR002W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0117_ENZ_YPR002W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0118_ENZ_YOL140W,0.0396378386505715,0.0727456281208301,0.0559702954789744,0.1138423879174735,0.0391909206774564,0.051611688962656
r_0119_ENZ_YPL148C,0.0,0.0,0.0,0.0,0.0,0.0
r_0120_ENZ_YGL205W,0.0,0.0,0.0,0.0,0.0,0.0
r_0121_ENZ_YGL205W,0.0,0.0,0.0,0.0,0.0,0.0
r_0122_ENZ_YGL205W,0.0,0.0,0.0,0.0,0.0,0.0
r_0123_ENZ_YGL205W,0.0,0.0,0.0,0.0,0.0,0.0
r_0124_ENZ_YGL205W,0.0,0.0,0.0,0.0,0.0,0.0
r_0125_ENZ_YGL205W,0.0,0.0,0.0,0.0,0.0,0.0
r_0126_ENZ_YCR048W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0126_ENZ_YCR048W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0127_ENZ_YCR048W,0.0,0.0040569552582577,0.0,0.0,0.0,0.0
r_0127_ENZ_YNR019W,0.0022105649795518,0.0,0.0031214107351235,0.0063488828979147,0.0021856407845468,0.0026413524310638
r_0128_ENZ_YCR048W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0128_ENZ_YCR048W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0129_ENZ_YCR048W,0.0,0.0,0.0,0.0,0.0,0.0
r_0130_ENZ_YCR048W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0130_ENZ_YCR048W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0131_ENZ_YCR048W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0131_ENZ_YCR048W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0132_ENZ_YCR048W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0132_ENZ_YCR048W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0132_ENZ_YNR019W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0132_ENZ_YNR019W_FWD,0.0,0.0,0.0,0.0,0.0,0.0002474847977719
r_0133_ENZ_YCR048W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0133_ENZ_YCR048W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0134_ENZ_YCR048W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0134_ENZ_YCR048W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0135_ENZ_YCR048W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0135_ENZ_YCR048W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0137_ENZ_YJL091C_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0137_ENZ_YJL091C_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0138_ENZ_YNL141W,0.0,0.0,0.0,0.0,0.0,0.0
r_0139_ENZ_YDR441C,0.0,0.0,0.0425797665174757,0.0,0.0,0.0
r_0139_ENZ_YML022W,0.0,0.0,0.0,0.0,0.0,0.0
r_0140_ENZ_YNL141W,0.0,0.0,0.0,0.0,0.0,0.0
r_0142_ENZ_YJR105W,0.0301742834993849,0.0552707735294867,0.0,0.0865891742297619,0.0298088394036944,0.039240554482593
r_0143_ENZ_YML035C,0.0,0.0,0.0,0.0,0.0,0.0
r_0144_ENZ_YER043C,0.0301334844274636,0.055195896739664,0.0425221565117729,0.086471996706202,0.0297685003426907,0.0391874307734894
r_0145_ENZ_YOL052C,4.0799071921285984e-05,7.487678982265322e-05,5.761000570281283e-05,0.0001171775235598,4.033906100375795e-05,5.31237091036155e-05
r_0146_ENZ_YNR058W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0146_ENZ_YNR058W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0147_ENZ_YJL005W,0.0,0.0,0.0,0.0,0.0,0.0
r_0148_ENZ_YDL166C,0.0,2.7476822777834458,0.0,0.0,0.0,1.94944592526168
r_0148_ENZ_YDR226W,1.500498094166778,0.0,2.15845273073418,4.300021154330599,1.4803079156501966,0.0
r_0149_ENZ_YER170W,0.0,0.0,0.0,0.0,0.0,0.0
r_0150_ENZ_YER170W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0150_ENZ_YER170W_FWD,0.0,0.0,0.0,0.0,0.0,0.0
r_0151_ENZ_YLR359W,0.0219892096454614,0.0403558549607418,0.0310496889614927,0.0631544054792202,0.0217412805620602,0.0286317389492855
r_0152_ENZ_YLR359W_REV,0.0,0.0,0.0,0.0,0.0,0.0
r_0152_ENZ_YLR359W_FWD,0.0280358390016443,0.051452974922479,0.0395877839545334,0.0805207086933797,0.0277197339674839,0.0365049420357327
r_0153_ENZ_YNL220W,0.0280358390016443,0.051452974922479,0.0395877839545334,0.0805207086933797,0.0277197339674839,0.0365049420357327
r_0154_ENZ_YKL001C,0.0141744817762875,0.0260138195019478,0.0200153283484363,0.0407107512054187,0.0140149187872607,0.0184566633490972
r_0155_ENZ_YGR247W,0.0,0.0,0.0,0.0,0.0,0.0
r_0156_ENZ_YFL030W,4.079907192128252e-05,0.0,0.0,0.0,0.0,0.0
r_0157_ENZ_YOR335C,0.1131664010488075,0.2076894504526817,0.1597957184505202,0.325021085054469,0.1118904460446177,0.147351855973863
r_0158_ENZ_YGR177C,0.0,0.0,0.0,0.0,0.0,0.0
r_0158_ENZ_YOR377W,0.0,0.0,0.0,0.0,0.0,0.0
r_0159_ENZ_YGR177C,0.0,0.0,0.0,0.0,0.0,0.0
r_0159_ENZ_YOR377W,0.0,0.0,0.0,0.0,0.0,0.0
